,axis1,axis2,axis3,axis4,axis5,axis6,axis7,axis8,Bankrupt
32,10710200314.732616,7920891228.106107,-2544285789.145921,3615768274.78444,-2906053176.0867434,-386956844.8988311,-625673662.9397161,1633878801.813425,0
33,11136281093.44073,3863912209.466788,4042288234.3680935,-4346007335.980245,2817151493.151903,-3944272736.0661783,611998403.3800651,-5038996544.50234,0
34,8482283880.67552,5436633698.415822,-2011313785.674018,2105500652.2147753,-2657795864.1664834,-673354211.6762356,-549868118.0727077,1463009131.685739,0
35,2744436406.362499,3461325766.410194,2057025328.824969,-1210050634.4964774,-1425527817.8774426,1431649849.4935746,-588149360.14488,1969047454.350634,0
36,11886487894.821411,-114852991.29156408,5451757839.749412,-977552655.9289931,1051553057.9765831,-2425008407.613256,-507255639.4762746,-3219537721.8407507,0
37,8762539112.63112,2411241176.6518793,3141873291.6640577,-2422904399.7898083,-251518780.07206628,-2561089516.226418,-123394179.40679951,-4068986776.3479304,0
38,9400682939.77291,5738475367.48459,2829665236.2705994,-3967574336.448092,-1734846243.9404912,-1279927480.1917021,-289962939.737938,4297732277.683911,0
39,8899022784.482632,1222994573.9300213,-6490448856.828331,4009066906.338662,912184761.3936899,907722540.3254069,7534401155.049565,-729742011.6643735,0
40,10690699750.825665,-2476554485.1347537,5633928481.959594,2294036466.0345426,-3688392480.0029235,-863020799.0421293,-1690168653.6596453,-1281491752.8103197,0
41,8055541163.736005,-5961866598.278793,1003510879.1062509,1620178490.7233794,-3458741939.694695,1057836035.8856037,4710182354.039346,764935439.3799077,0
42,11331837854.160194,331731415.8054316,6692946769.85608,176089474.29530644,64371899.596488595,-2718676138.861582,-339241392.6626603,-3623384072.0602517,0
43,8485105202.610472,4088834207.5060544,-2226691991.447334,988381856.4547455,-2413727588.127824,-1171066130.0312824,-541105724.1234013,1978671220.224076,0
44,11865610521.150364,618289972.6588868,5726486224.999842,-1323521853.6976922,1987784640.722949,-3638870187.471168,148268645.263645,-3424751740.3595614,0
45,10653195315.002043,5505115158.2822,3201049406.1419234,-3897020103.5795765,-5275836542.5077715,2544559551.676207,7292750036.101549,2400444290.7696314,0
46,7475513118.324044,-1563214476.1580145,-1405678498.76405,-3589212998.2999835,3612395890.0541615,-4159679135.6874685,650499165.1025753,175079756.36827397,0
47,9885604155.498568,6279693420.635086,3382360802.9543138,-3929920332.2546616,-2006758846.3283248,-2115030585.484376,-36823147.45604402,3482160286.2842646,0
48,6220741126.905923,-2854214283.460318,-2684426591.230666,-1894021914.536204,-4084228594.5765896,693923923.4339305,7149668104.998802,-589569219.3156557,0
49,7374464835.335173,2733874311.5245705,2366159997.687247,-1989869038.3953865,-3166412368.247143,-722682037.1384763,-1029857828.7679019,-4567591229.194268,0
50,11630399016.873817,-1859641832.622551,7219568001.923379,1707890125.2274692,-1930305673.4560006,182872401.62150997,5133184236.341732,-3063040411.6138177,0
51,10476591772.012684,4095033317.0045743,2535083412.3198133,-4048712721.985945,-3243261311.109401,1594788804.0808713,7646955026.507879,1513738554.4599166,0
52,15022757041.820097,-1231976072.8406396,9130266099.932804,194031429.48896787,3808248808.4063916,-2631830872.9975677,-365385624.8820154,-3106471251.800029,0
53,8861889293.087523,3036051981.6211486,3212646330.872171,-2005764997.8812177,-3505926646.945065,-1346638908.5695848,-1010852875.3961596,-5251703365.927412,0
54,11804397309.682892,2571928530.189027,2582738742.6436853,7717744528.611792,-836241523.890335,-411333391.6907029,-280997095.54600877,-3492823503.4515877,1
55,8229643797.49829,6148643364.69862,2724106477.4157906,-2413897629.075991,-3468465487.75052,-921096197.184713,-454609282.639411,2975324734.0114594,1
56,11867792781.101309,6003399016.3472805,3731109660.163721,-5127455408.55748,1047420052.0729432,-3453729821.907667,532868749.6145861,2383709491.3777704,1
57,7420818827.730688,5132563749.90665,2589338820.098176,-3064035724.6775613,-1584268343.2306318,-1497769110.0900364,16574513.893630028,3823512224.103916,1
58,9364763284.581543,5763185770.256599,3099720864.0315285,-3666476030.1709905,-2707696304.849961,-616878157.2547939,-698405403.2218456,2702144528.020437,0
59,9598252610.333212,6756863040.77575,-3250083390.2879267,3534929281.6868396,-1969537312.263286,-505787553.98663896,-433003177.2651729,2542490662.508352,0
60,10247983431.102541,3825766128.9245496,3969691896.441392,-3923893172.8634105,2309981426.143954,-3490330418.6771765,506492538.8291599,-4903179429.912332,0
61,8393035721.266873,5167852700.410155,-2255217236.2733917,2246866637.543551,-1833622836.1602314,-822456564.3789833,-402974080.97719985,1186709122.0091662,0
62,6606283342.101524,2024102885.4536285,309040101.2849226,-2397423471.755672,-3262849058.840755,-174993908.81697568,-1106258173.3078132,1703282905.9534094,0
63,5244537026.332046,5297727062.081834,5706313695.462877,-2132408116.5348525,2862700717.413742,-399881175.698012,473561443.43216735,-4830934998.099602,0
64,7340723216.848366,16815396.655323874,10042796972.629381,3448104334.2704487,2129618167.94173,-650148107.6852695,44412942.75261874,-2397626332.8573756,0
65,9927500780.315428,2902394621.0004234,2989821407.0367775,-3832998171.9425316,1648139836.0403686,-2730073020.5677557,51929304.39282555,-4323908783.49403,0
66,10587244446.061897,558624042.6847537,-5389969765.118803,1469587443.088711,4323300160.44678,-372893058.78952986,9547804649.445848,-417314607.4274057,0
67,11015122213.322805,2394669994.655945,6983130621.053503,1042024111.5011952,-4847220693.5855875,239516216.50278327,-1472704612.49784,6134012950.497455,0
68,8241779013.670006,-5725756084.477641,1279352630.274512,935523997.802521,-1635187511.8231666,1524050981.8944013,6865122386.984575,807820114.411345,0
69,8950408569.841736,2047925915.3034022,1708204317.1735451,-2780344682.5897303,-1961130500.5090678,-2572060099.377437,-519727567.79390275,-4087132742.4623604,0
70,6584290962.8661175,1794025147.4240892,-3397126160.9190674,970312782.4519345,-1433365944.3821578,-1353763583.3739345,-383262015.7847057,2372641462.980251,0
71,12024022263.613571,3616737477.951283,6382721662.169517,-1515799328.8889189,-258535785.97068188,-2562887818.916231,84886016.4909381,5615334609.633433,0
72,6521040329.99773,-2885467450.14569,-2463346436.8362617,-2467014514.0177374,-2555452722.0785284,1932788740.7613943,7054869182.813868,-501108125.22254384,0
73,5183092049.086213,-1955500986.6145387,-2366730994.096034,-1691246418.41025,-2543029967.8812637,-1215755127.3996062,-1050823074.9587424,-310798483.51288617,0
74,9080008144.312069,7114231089.252101,3663365098.610539,-3007280440.0793295,-5466889980.871639,-872437053.0121129,-755321531.7645563,3299595267.982502,0
75,7206295240.590223,-6068782570.071529,2880934932.4666104,3626751660.0508127,-2403194095.036088,-1668872133.4833279,-1124032941.7171764,1482608350.2894282,0
76,12284823396.836285,10395118734.266264,-1724740500.7534258,3537596799.5896134,-2637241760.5166364,-401793028.6484061,-401582239.17679954,3384498480.905315,0
77,11554062577.11089,-2516791493.793848,6689504956.038049,1506403600.3233426,-2285936688.2008824,2859003837.9967813,3777926864.636794,-2887213892.79042,0
78,6285315111.775307,-1651674740.748892,-1686137779.5109017,-2774149985.3114576,1275973844.6488073,-2613531773.693563,-91631492.49054916,-9315802.094117356,0
79,7510059032.274493,-6498685599.984186,3215035384.892259,3692002461.753423,-1979950047.2913308,-382535113.9094153,-1591933917.0039158,1611241852.056349,0
80,11108447643.140306,791701986.4517578,6424426153.113263,128488875.62387058,-1489700042.252331,-1775041961.470058,-862263516.045389,-4230265205.3994236,0
81,4994390428.925433,-1793887771.1925297,-2245168862.4386997,-1507177742.6132164,-2534129876.9401603,-2097069320.4388313,-675670239.1955959,-288588575.7688731,1
82,4087140606.402153,4838028627.249537,3271531055.132133,-2073452772.554094,308687421.19951123,814269764.7002403,-93253661.39362042,2432584849.8526216,0
83,8193444940.825793,5085434729.807819,-2548863520.5396495,2308773495.506817,-2053179894.923055,-635482434.8300644,-470301381.4472311,1909576620.9890106,0
84,4733445829.627425,-1734947301.0325303,-2188056415.6908097,-1387885629.8809795,-2628995427.016136,-1952927971.3912613,-692600632.4829776,-292201479.3618467,0
85,8475728140.780075,4495569899.216691,-2485593984.2970695,1663299587.813147,-3111542707.4388027,-944291676.1343744,-660704358.6750948,1839888566.838813,0
86,6703560296.353206,1546690825.3072119,-112773392.90906194,-2368337123.488208,-3551008159.8430877,-309319653.09022266,-1191981210.0934813,1553493627.943041,0
87,10986082746.744865,2510012002.0195227,3375553812.3798933,-3975775948.5876126,2566125539.220244,-3130344247.067901,161028751.23813266,-4175386065.6994624,0
88,10079267870.538525,7048287051.6528845,3856006449.256331,-3967160174.9169436,-2474063428.7621593,-1903957725.8449042,-87971160.4882878,3856558777.84559,0
89,10777816731.60021,7207383738.445699,-1466110332.8748014,4475003903.280914,-1731755005.4680777,-542620633.6662712,-660087394.1635737,-5837374681.258557,0
90,8042642839.303188,1216337361.8902173,-5051161888.862884,2306827195.4021564,2717568557.8327303,-2513627890.652217,315656300.7620524,-298485127.9635668,0
91,10810602070.665306,1940823630.0766873,6686562731.995625,1121672662.1982236,-4629976328.741349,-28840185.33136631,-1387582692.8939567,5867578763.69202,0
92,7900430022.353844,-4855298151.070757,1638620097.9480026,736824822.8078194,810713703.9814965,-1145195585.8675961,-959378526.9802004,1154280967.9954414,0
93,9777033334.767231,-1541083860.705603,5111851801.12894,1689753594.3105834,-1592701748.149049,-386590185.73577935,-1002538253.5787317,9046011165.92184,0
94,5586344657.43823,1286025729.1291475,-2074505928.8123853,272062990.0457373,-1367190266.9021657,-1285837139.2869668,-368382444.2340053,716124383.8408195,0
95,10691402175.432201,5040148948.393436,3092024073.9010773,-4454299364.949907,505842494.98272574,-2258338018.335925,133010504.57484469,4249443915.6397977,0
96,6951579375.893698,2915589953.47869,51235839.74627958,-3298910530.299499,-2285716277.0599337,325967713.39709425,85617669.97387208,6778822246.333461,0
97,9835459421.66932,7632280615.104949,4421709444.6137,-3744409772.7558765,-3339331938.2337165,-652811396.3371402,-556906875.0308067,3181386052.599124,0
98,8027424174.86783,2973316873.7903624,2797960165.5771794,-2560085657.65563,-894206706.0663697,-2202674402.8742948,-214380850.66817766,-4365733768.450057,0
99,4934876192.1767845,-1833735421.330084,-2268105769.3556986,-1523739238.5200691,-2590572140.169347,-1622932226.568876,-852999528.8576769,-300534853.22165364,0
100,9057423532.772163,6257590903.561315,-4956192031.219055,4024285330.363287,-620641227.7421519,-711938607.0142303,-80039789.52247654,5522073656.599863,0
101,12337470590.063622,-3334903222.8031955,6703721682.509062,1457855927.3354664,-1454567646.4324384,2732424327.983978,3850367910.1105413,-2395290731.331652,0
102,11600437300.170948,7061885700.184399,4530192885.887072,-4975332495.524741,339495575.0091068,-2372875382.477559,241197415.12208346,2487987370.1377006,0
103,628249359.7349993,-359306244.4607887,-222875869.46551093,-581230655.1387388,428123149.35096353,1876561972.9327512,-768819486.648647,-17579272.87413724,0
104,3499627480.930802,-2238610421.5136056,2627934762.5364127,703148540.8448757,3880522804.203489,-702918226.8629678,280554876.6588756,1101697136.739702,0
105,12469677627.239601,1515683674.310431,821116900.3126941,7554549751.003136,-710946059.0566754,1621156052.5806077,-1856807693.1324944,-2847294175.793561,1
106,10657901311.703804,6502171293.490664,1677244634.1355367,-2111744365.3833535,-3349924763.332271,215476982.43439546,3324266844.492791,3295463231.049338,1
107,12394911933.131084,-3142800416.0066257,6340298519.413633,1465386141.9005218,-1641098542.913162,138775740.50392985,5170245203.098779,-2298727197.0802817,0
108,10734288825.329857,-2147307284.9830956,6770500959.9976845,2403105468.3137727,-1741131540.9274397,-2088078739.6403637,-905602826.6796039,-2233573661.1933713,0
109,6068766143.27306,5186488115.944478,5637491287.195599,-2556477676.5358043,3814369372.9278708,-1655974996.8363988,929068314.9904258,-4676650354.5629425,0
110,9428486235.717442,7188926237.400693,3723496838.777687,-3214201635.4441113,-4634764342.843762,-1146441853.2965076,-571445783.1577264,3392364893.2281895,0
111,11884107666.59357,-1844489448.1378155,7847962486.2655115,2275423186.110601,-2065627004.1963255,235871954.07488734,-1898708183.394829,-3126006023.7922525,0
112,7588437546.975496,1506576549.769571,-5169022358.871507,2899902484.5285745,2507632843.218649,-2135475096.411624,265812661.02872714,-333394628.2781088,0
113,7245600196.895732,9589811104.966406,624603054.1298813,2981922923.03766,2309895073.430675,243546548.5729373,735268780.5606658,2948381559.585108,0
114,8304753976.806889,2618125522.2705717,-411509625.6070074,-296430565.4998758,-2743329144.1203074,-1272103048.418575,-871510320.1549274,-2944340850.3821435,0
115,6710870937.064916,2240518887.408636,310189504.45667136,-2636437873.2618747,-2507227759.764512,-796919400.5942063,-727816407.8760327,2856026073.6130023,0
116,15511821063.656141,8422263574.803318,1623696859.7900956,-3067182384.619804,2220653653.9525547,-3508656635.48921,594070283.8756624,3256225375.209741,0
117,4914701116.813394,-1833308173.123609,-2213979425.1163836,-1387568162.5297415,-2714769814.6010756,-2015561295.1364908,-719770344.0392189,-285437043.44117826,0
118,3201506675.6927285,-4897442943.374901,5269615640.933373,5297569478.958784,-40539573.30760031,96270392.05287483,-544071753.0714825,1896586852.1005194,0
119,8371233150.526645,2726953833.650112,2620332675.8227415,-2861344638.945489,-113589315.0889499,-2520398110.996716,-68379293.0424663,-4103970949.414172,0
120,7637008605.216726,-2313949474.663117,-2209739628.6636653,-3709991716.568255,1607405199.163797,-313733634.83270925,-1187721479.1047196,-61013793.04714554,0
121,11314923711.217972,6608330770.429275,-2483986287.982178,1638383320.990284,1517973559.5259511,-2122999637.363447,387096126.6425479,2966230218.417061,0
122,6554755348.544753,-2266621597.384929,-2180039951.9694586,-3237571623.4770575,672163651.122144,1404525893.9858165,-1776431078.0594168,-140222253.64512318,0
123,7168767572.962943,-2631330626.0364466,-3302677764.572044,-2075224380.4058738,-3975116397.9575305,-2934934174.783134,-1104405584.1995318,-467986837.7903037,0
124,7608636669.178928,-3181755056.2025537,-3386300394.2876334,-2278860801.071288,-4656543611.609219,-907524169.1259271,4403330229.596481,-610383779.575405,0
125,10511568207.630407,-3085286363.98362,3516447842.3725967,527830912.8126907,-3233626688.1725974,1209032655.07534,5478125051.903912,-2002132749.35201,0
126,8334710788.226317,-6345070058.249344,1845635259.3857315,2089819151.9906054,-1952691499.5528455,1135498392.431397,-2359868995.6865125,1253961618.2073855,0
127,11155415598.769106,6569561346.435202,-1436529828.4641225,3698384302.5385413,-2670929968.9080014,134439667.82029805,-1212349908.7875543,-5948270693.095997,0
128,11232698088.407415,6480130161.478226,3296618791.3036704,-4152827732.3872404,-3580972330.827929,-2306475627.7907753,-389411207.1264275,3085715402.689883,0
129,6004413755.065662,-3521449142.0863643,-363074212.98833275,-135443979.017144,-1635885583.9463382,79859156.64507888,-1502223867.7104387,378150977.7737679,0
130,10802326116.173347,-1049874712.2054598,6014158061.582967,672352188.9956508,-1160308538.6422625,432073050.2225245,-1732958577.5335197,-3047040273.504872,0
131,9022992713.3072,3650409284.22078,1641889077.3913908,-3940111561.8984394,-408553419.27445364,-1514963228.9083524,-295761644.7289571,2902624926.3503604,0
132,11610273539.160883,747129057.4544774,7421115239.787554,1243075017.9204686,-3015047262.619331,2436620920.916627,-2201895074.919641,6985205592.822423,1
133,5863921115.239579,-1624068193.481044,-2627600075.167245,-1507428978.9185479,-1356349530.0177047,-1523271001.665091,-808491005.5334543,-267908671.71572927,0
134,10421963639.401817,5981122997.356737,-2515126588.212146,4289988370.857023,-1400303483.4807484,-920402116.2708244,-587097565.2648783,-4787218632.51217,0
135,7320476551.758217,1228734023.5939293,-6057434396.324853,3690595102.503634,-105046930.1450386,-182106151.27363375,-834782893.0560554,-593069444.2723924,0
136,9558723935.067772,6267307256.670199,-1769992454.320776,3856734468.633246,-1078801534.4427993,-681586986.2636309,-435037502.9909438,-3813188571.016676,0
137,6723073287.604239,-2464204360.7988267,-3107770569.1754127,-1971260924.9905393,-3734051167.962088,-2773809683.1899514,-983724115.3327322,-415023648.98730814,0
138,5190397447.360233,-1563740220.9634633,-2615775788.5528626,-1068769345.819961,-2348834966.2145705,-1542909843.9879537,-838850950.684833,-324684014.10884535,0
139,9829450028.253387,5991725134.469512,-1362714712.6674778,3599954511.0075407,-2363887992.581309,-665177620.546302,-751834436.815131,-5230579491.709945,0
140,9231888057.627264,6579045847.333949,2240552309.90305,-1816848221.2205944,-4353605152.027916,-857983819.8536779,-703305195.6791934,2348847285.084998,0
141,11692598010.031076,8116753347.619047,-921726119.0377369,1163610324.4492846,-1255130472.7918193,-651377790.5358342,-397258303.38307077,2925917625.167583,0
142,8539099089.51224,6366076518.667922,524678778.1332197,62220784.50775282,-3335613919.9405866,-124155378.39124109,-725555292.8767973,2147840420.6778293,0
143,10547094893.199173,6766738630.611161,-1089708209.6417,3818258827.895878,-2002680199.0736766,-711196123.4226567,-678594391.830517,-5756406500.478875,0
144,6556694955.670421,-1363805889.9568274,-1232290846.3525636,-3134006264.33573,3149228579.8296075,-3738273171.0304627,601354219.561403,153742103.57187152,0
145,11199335401.15379,4529102958.208057,2261660256.5944495,-5134878784.487343,-4095158187.235126,7533657977.023196,4955018648.515461,3928168645.509715,0
146,10592872910.34063,5991655432.87344,3235725218.5243673,-3983735935.220779,-2868683172.540247,-1917353076.3469715,-414441382.66812396,2333215207.0585823,0
147,13195226166.452116,8263858901.449261,-744898780.2847654,183564988.26131567,2531600044.728801,-2744857128.182715,732709041.8655903,3581101249.1713247,0
148,8450434788.104088,-3007386193.5994096,-2764655297.191689,-4438536034.162219,1386870716.9528193,3230290827.5161157,-2739434689.640924,-166378413.01627788,0
149,4576623056.887446,-1677586837.163427,-2115310927.8473244,-1341254515.4354165,-2541254555.2986403,-1887630113.9713035,-670524391.3574257,-281838812.34876955,0
150,6714748878.006583,-2264177014.3054013,-2029411175.76226,-2860096561.737798,-33513595.939749163,-549824314.2616948,3349876858.990997,-208565598.48947048,0
151,11205826464.406744,314536178.19450676,2299530457.2875338,6948254699.141374,-2571900523.4706955,55234924.762287684,-1136925596.8678477,8783210449.722286,0
152,5354505942.244487,-1839864983.3604496,-1892902748.9515915,-2409309479.6113024,-111535222.87362207,222277466.9170213,-1213728817.3579175,-149446394.63961473,0
153,13152207069.310745,6687721865.128003,-695519774.5014057,1777817107.109568,3674089534.976547,-2086376586.1693788,263992698.9893209,-5215329133.513762,0
154,11819556948.95192,6703104684.485848,3556196433.5022216,-4448559558.055812,-3110206422.6742487,-2546110110.230582,-292760045.3788176,2904942092.039243,0
155,9811788230.916607,-4290806962.287827,842867618.0826463,-1682741202.0435078,4009286661.571147,-2538546224.4283996,-302897218.46325517,1063849573.5121446,0
156,12685333996.313663,-1806937116.2856116,7923788082.263813,2387668515.43937,-3336948521.2027674,-47027279.117512584,-2100572318.3194737,-3592890028.5128093,0
157,7611025857.030857,3946882467.5484114,1736231180.8492336,-2679479059.0980234,-4131886286.4449286,396007182.73006314,-1304765288.009121,1690186772.8264081,0
158,6837146009.038382,-921238802.2816112,1139198166.69989,11273325376.751923,5395450263.441111,474786946.7071073,280028384.59020805,1765199577.060901,1
159,11811399120.377806,9356054163.483387,442131966.6787903,647649419.5223445,-3004193170.4416294,-513109399.8839176,-534108762.7093691,3515410230.651072,0
160,11028731996.58855,6607665389.457642,-813262045.2896572,3093655708.3842797,-637026151.6504556,-1275676310.4980104,-368355876.89516866,-5566656611.2185545,0
161,6533003790.283872,272705324.3617353,-5003472965.139165,2256752739.5301695,-1360640018.4674735,-797013200.9642743,-845848295.4389417,-539179304.4927127,0
162,9056584453.102133,1693746517.8932097,-5736819190.962292,2899472544.732677,3748044596.262002,-2799698711.522296,502210435.87672126,-307590866.6327198,0
163,8849837188.190937,-5680433272.762774,3576341883.905988,1952793922.8062274,2644736926.8174562,-3286827071.8092637,14768020.958132232,1833035835.8219285,0
164,7480932956.702814,410651159.7676573,-4340530378.709689,1161703258.182838,1729118766.2760243,-2210199822.010446,5098223.729911835,-278258617.34799385,0
165,10384948836.1123,9506574175.007004,893434023.4205673,1063998254.7310818,-2828814894.8270082,-384159464.3857655,-313503788.8369333,3439680113.799979,0
166,8471775220.456303,4203339004.4358015,1331627257.051487,-2422074068.759442,-1176647854.0850434,-1977785065.6996465,-83373996.59511589,1846138130.5036983,0
167,5738667953.1790495,7165635955.866205,1125815851.4813828,1402044696.511514,1887135657.678287,357991857.5490784,450701705.3967703,2128123313.0488446,0
168,6840551662.441757,2655446186.764989,-1209824834.6183548,-216908321.13334712,-3111320435.4492774,-870760334.624629,-700510911.7929353,1189406832.0589745,0
169,10415623839.672083,8142093621.244467,-688822420.6637851,1495603517.158087,-2740424035.4800644,-716169125.9211932,-390103370.31921774,3373088741.1429744,0
170,9186292452.161474,-2329518292.3803444,-1105836546.0571208,-3709537554.7859206,4334394625.448303,-5054230919.341432,776207844.0183324,407964344.6112983,0
171,7044249516.4499855,-3485304374.099469,-2684579507.972855,-3540442061.989497,-1399019516.1650667,7241052913.017984,4956098289.911495,-521487778.99307007,0
172,10722442275.764368,5832218656.40377,3070021400.3367467,-4411300776.676623,-3365076066.9366665,1960670758.572173,-1934407670.987888,2525889343.3496513,0
173,9563094809.87956,5856562569.85434,-2245640130.4852514,1750879134.1763422,-2065043081.7942095,-1112706810.063916,-377661594.566361,2680029317.6059084,0
174,11685942688.960487,2524250002.1994786,2813058960.851057,-5051865552.586261,632603708.7545308,3784262436.097086,-2812154067.6289372,-5367721649.354152,0
175,4741455513.60647,-1737965696.597455,-2191584002.8090796,-1389785975.5215244,-2633002250.3509183,-1955821410.558149,-694373147.9146655,-292225387.10228527,0
176,13620699120.389967,8706084168.337286,-949856356.91473,1058847759.9700941,-345961716.41158205,2796528794.0458565,7147468963.93331,3239431149.74048,0
177,5542235922.492314,8414203776.079196,1577941284.9510925,1565165886.600279,-494898113.0635489,705393597.3116201,223615344.09580088,3888817216.537513,0
178,6736758444.5177,10036446739.054392,-476822939.8030758,4914719680.180406,-361087223.19066787,2587323619.5019155,-367329928.671252,2129282348.8849428,0
179,11400084903.410208,8172867132.8218,-1541599637.9529145,1959621708.30259,-550164467.6834834,-598344209.9288987,-247754925.23568714,2938366132.7602854,0
180,3631177183.332433,3327937278.476179,4156805071.158309,-576415629.5820872,24562183.83887904,-135486498.18430668,-18707006.16021193,-3523819863.2051024,0
181,8257829552.335012,-3859616841.393284,1560502937.857978,-380281889.66666925,2101196494.5778308,-1568222312.5581331,-609281789.7153636,691624540.1538981,0
182,9889233230.132921,-6553039821.042687,2985253030.758415,1353156908.0698512,2046422681.1088872,47552501.88116922,-1566031178.8488817,1734873126.6931334,0
183,9811490550.34832,4505045746.639397,2412845245.829213,-4110412026.342273,-679047042.3044899,-1775161361.5434158,-246486083.50151563,2252623010.9232483,0
184,5260152319.135367,-2709681557.38517,-1074234362.3609984,-452460828.19680077,-2300560188.2803183,-1126881606.3871212,-1026565818.734327,96509855.38256966,1
185,8135914179.795037,1322359127.6378508,1644300942.1376948,-2536133755.670515,-2375455908.0746617,391102440.0999305,4824836053.971483,-3835077485.9499726,1
186,6735367538.959522,-2450365688.7215934,-1452212131.0855534,-2393038128.6383367,140564320.17959905,-1070923142.7250992,5569212261.344054,-83808454.37298518,1
